swc_path,total_length_um,num_segments,mean_segment_length_um,std_segment_length_um,n_bifurcations,n_tips,max_tree_depth,sholl_peak,sholl_peak_radius_um,sholl_auc,max_radial_extent_um,bif_per_100um,tips_per_100um
RI0078_Mid1_SRFinal_annot.CNG.swc,1657.421919220061,304,5.452045786908095,2.1124639612112426,14,23,40,15,60.0,1430.0,227.01079886208055,0.8446853415929259,1.387697346902664
RI0090_Mid1_SRFinal_annot.CNG.swc,2083.594435485885,301,6.922240649454769,2.824945723196492,15,27,26,18,35.0,1760.0,193.3643878794645,0.7199097744039649,1.2958375939271367
RI0090_Mid2_SRFinal_annot.CNG.swc,751.4936241252667,131,5.736592550574555,2.2670052662534617,9,15,20,10,25.0,610.0,95.90663220028112,1.197614951221434,1.9960249187023904
RI0090_Post2_SRFinal_anno.CNG.swc,2972.410178675378,483,6.154058340942812,2.3225367745032752,24,31,50,24,65.0,2325.0,216.6348365593842,0.8074255757896556,1.0429247020616383
RI0096_rep1_SRFinal_annot.CNG.swc,3399.02575537088,514,6.612890574651517,2.776818063208346,26,38,38,26,65.0,2725.0,273.8794367965584,0.7649250659226925,1.1179674040408585
RI0100_Mid1_Final_annotat.CNG.swc,1536.0130385081384,232,6.620745855638528,2.759381197563211,15,23,30,14,50.0,1240.0,221.24311185762247,0.9765542104101432,1.4973831226288865
RI0159_rep7_SRFinal_annot.CNG.swc,2154.7820366657625,342,6.300532270952522,2.366235884552669,17,25,29,17,50.0,1765.0,200.8849705677356,0.7889429051629384,1.16021015465138
RI0175_Mid3_Final_annotat.CNG.swc,2879.106868736868,426,6.758466828020817,3.136583916719513,25,32,39,20,45.0,2370.0,217.8391207851437,0.8683248361311467,1.111455790247868
RI0206_Mid3_Final_annotat.CNG.swc,1594.4004905411955,276,5.776813371526072,2.171042252152717,18,27,37,15,25.0,1220.0,162.80142566943326,1.1289509823149997,1.6934264734724993
RI0408_Fix6_SRFinal_annot.CNG.swc,1252.99125166173,250,5.01196500664692,2.038359933136145,13,19,40,12,65.0,1030.0,182.99919201400252,1.0375172199134883,1.5163713214120211
